mot,definition
Marokoroko,"(rokoroko)  Maraorao, mandrotsirotsy, masaosao. "
Marolafy," Sary ieometrika misy lafy maro, na telo na efatra, na dimy, na enina... mitovy na tsy mitovy. "
Marolily,"(t, tr,)  Mandimbolo noho ny taviny. ?  Reniomby. "
Marolongo, Karazam-bibilava hafa kely fa maromaro izy no miray lavaka ka raha misy mamono ny iray aminy dia mivoaka daholo izy rehetra manaraka an'ilay na-mono ny namany; somary volombatolalaka i misoratra fotsy ny volony. (Anarany hafa: Marorazana na Maroandavaka).
Maromita,"(fr, marmite)  Mpiasa an-trano, mpahandro. "
Maronjana," Lava vaventy, Marorazana  Jar. Marolongo. "
Maroroka," Fatra-pitombo, mitombo izaitsizy: Maroro. ka ity zaza it9 fa vao roa tao. na izy dia takany ny latabatra, t.i.f.: Haroroka, -  F.-p.: Manao sain-jaza ma- roroka: tsy lalim-piheverana rehefa manao zavatra, / Maroroha taiza: tenY firariana atao amin'ny vehivavy terabao mba haroroka, hitombo soa aman-tsara ny zaza tezainy. / Manao soa maroroka: milalao amin'ny orana. "
Marotampona,"a,: Karazan-kazo fihinam-boa, "
Marotanana,"a,: Bibikely sahala amin'ny trambo, "
Marotoa,"(fr, marteau)  Tantanam-by kely, "
Marotonona, Anaran'ahitra mitovy amin'ny fandrotrarana.
Marovahy,"a,: Anaran-javamaniry mandadina, "
Marovany,"a,: Valiha vita amin' ny hazo natambatra ho efajoro toy ny vata, ka valiha vata no ilazan'ny ankamaroan'ny faritany sasany azy. "
Marovelo,"a,: Anaran-kazo. "
Marozandry,"a,: Anaran,iavamaniry, ? Ny vitsivitsy ambony amin'ireo taolana mifampitohitohy manaraka ny lavan'ny lamosina, "
Marsa,"(fr, mars) na Martsa (angl, march), a?: Volana fahatelo amin'ny tanna araka ny fanisana andro vahiny antsoina hoe kalandrie; 31 ny isan'ny andro amin'ny vola-na Marsa (jer, Zanvie), "
Masahina,"(masaka) mt, ih (masaho): Atao tonga masaka, 1 Dinihina sy eritrereti. na tsara, alaina ambony alaina ambany: Masaho tsara ny fikasanao, "
Masaisay,"(saisay)  Marokoroko toa misy bontsimbontsina kely manindrontsindro. na: Masaisay ny uatouary ra. ha tsapatna, Maraorao, masaosao. ? Handatra maisatra: MasaisaY ny kaki manta. ? M,h.: Masaosao, malailay, maraorao, mivoho-mamba, marokoroko. "
Masaizano, Karazan-kazo tsara fanao rafitra.
Masaka," Entimilaza voanjavatra efa tonga amin'ny fotoana ahazoana mihinana azy tsars: Amin'ny volana zanvie no masaka ny uoaloboka. ? M,h,: Matoy, ? Enti-milaza zavatra azo hanina rehefa nandrahoina: Antsoy izahay rehefa masaka ny uary, ? h.o.: Nodinihina sy noeritreretina tsara: Efa masaka ny heuitro; handeha aho, - t.i.f.: Masahina, hamasahi. na f manamasaka, fanamasa. ka, mpanamasaka / anmasahana, fanamasahana / mahamasaka / masamasaka I hamasaka / fahamasaka / hama. sahana J fahamasahana. -  F,-p,: Masa-daza: nampitomboina, nitarina. / Masa_ dreniolona: enti-milaza rehefa mety ho hani-masaka ami. dy eny an-tsena, / Masaka tdina: mpandany, mpitobatoba, / Masaka ifotony: enti. milaza ny voankazo masaka eny ifotony, / Masaka otrika: ilazana kosa ny voankazo naotrika vao masaka, "
Masaosao,"(saosa)  Tsy ma-lama fa marokoroko: Masao_ sao ny uatouary raha safoina ? M,h,: Masaisay, maraorao, marokoroko. "
Masay," Vady faharoan'ny lehilahy mampirafy: Nam. Pirafy telo indraindray ny lehilahy taloha: ny vady be ny uady masay, ary ny uady, kely? "
Mase,"(Tsm)  Omby tokambolo fotsy handrina, z	Mass) maso masd mena, masd tomboloh?, "
Masera,"(fr. ma soeur) a: Vehivavy manokan-tena ho an' Andriamanitra ka tsy manambady ary tsy mikarama fa mivelona ao anaty fikambanana, misahana fampianarana, fitsaboana; relijiozy vehivavy. "
Maseva,"a,: Korintsana natao tamin'ny kitapo kely madinika norarina izay natambatra nofehezina ka entina mandihy: mikorintsana aoka izanY izy rehefa manao fihetsehana ny tanna na ny tongotra, (Misy koa aza ahodidina ny andilana tey ny fehikibo). "
Masiaka,"(siaka)  Tia mam. pijaly na mahita mijaly, tsy manana fangorahana. 1 Ma-nana tsiro manaikitra, malaholaho: Masiaka ny sakay. ? M,h,: Ratsy fo, lozabe, mangidy, sakay kely rano, fo vato, mahery sata, tsy mifaditrovana, tsy mitondra roa, mamba noana, fon'Itrimo, tsy mamela mivalo, Han-dm. "
Masikaty, Lasoa mena mangatrakatraka.
Masikita," Didin-kena lavalava izay atsatsika amin'ny a-fo. ? M. h.: (any anindrana) Soza, safindran. "
Masikoro," Zanapoko sakalava andrefana, aty amin'ny aty tany, mifanindrana amin' ny Vezo izay mitoetra amin' ny morontsiraka, mivelona indrindra amin'ny fiompiana sy ny fambolena. "
Masilina,na Masilinina a: Karazan-damba sahala amin'ny voaly.
Masiloka,na Masilotra  Entianilaza zavatra marimarikivy ohatra ny voasary makirana.
Masimasy," Tsy rotodrototra, tsy mba miraidraika, midarondarona, Mimasimasy, fimasimasy, mpimasimasy / imasimasiana, fimasimasiana. "
Masina,"(hasina) Mahomby, mandaitra, mahasitrana: Masina io fanafody io raha atao ody poizina, 1 Voa. tokana ho an'Andriamanitra, ampiasaina amin'ny fanompoam-pivavahana, mikasika ny fivavahana: Ny otely masina. / Ny soratra marina, / Olo-masina, ? Mendrllca hohajaina, tsy azo zimbazimbaina, manan-jina: Masina ny tanindrazana, a F,-p,: Ny masina: teny enti-manaja nY mpanjaka niamboho (maty). / Masi-mandidy: afaka mizaka amin'ny fananany. / Masim-baua: ilazana ny olona izay to sy tanteraka hatrany ny zavatra lazain'ny vavany. J Masim.ba_ uaka na masin.kataka: tanteraka ny fivavahana sy ny hataka ataony. / Masim.posaina: enti-milaza ny olona tonga amin'ilay fotoana iresahana azy indrindra. ? M. h,: Saro-posaina, / Masintanana: ilazana ireo mahasitrana ny aretina raha vao mikasika fotsiny ny tanany, Ohab.: Mpisikidy tsy masina an-taniny: enti-milaza nY olona tsy lnoan'ny ao an-tanana misy azy na dia mahay aza (toy izany koa ny hoe: mpaminany tsy masina antaniny). "
Masinandro,"a,: Zavamaniry fanao fanafody. "
Masinankorona,a: Zavamaniry fanao tambavy.
Masinaty," Misy fofona miverina avy any arnin'ny vavony, toy ny maimbo rezatra. "
Masinina,"(fr, machine)  Fia-sana voavoatra hanaovan-javatra izay mandeha ho azy (mitovitovy amin'ny milin, saingy matetika ny masinina fitambaran'ny milina maso). ? Milina fanjairana na fanoratan, ? Kalesin-dalamby: Amin'ny enina sy sasany ma_ raina no miainga ny mariai-na mankany Toamasina. "
Masinjany, Zavamaniry fanao fanafody hotsohotso.
Masinkateloana, Ody tsy mahavoa raha tsy afaka hateloana.
Masira,"p, t,: Vasobasobolo, matromatroka (fiteny amin' ny volom-borona), "
Masirasira,"(sira)  Misimtsy sira kely, masimasina. ? h.o.: Tsy dia mazoto firy, tsy manotraka firy, matimaty amin'ny fivavahana. "
Masiso,"(siso)  Ratsy fofona, maimbo, enti-milaza indrindra ny sakafo ela nitoerana ka misy fofona ary toa marikivy. ? M,h,: Jar. Maimbo. "
Masitombo, Anaran'ahitra.
Masitremo,(angl. Mark time)  Fibaikoana miaramila tsy hampikatroka ny tongotra rehefa mamindra.
Maso," Fitaovan'ny vatana mijery, ny fijerena: Sarobidy ny maso fa raha :samba tsy mahita ny hasoan'ny zavaboary. ? h.o.: Ny votoatinjavatra, ny fotopototry ny zavatra iray: Miteny fahantram ianao; ooakasikao in. drindra ny mason'ny faha_ uoazantsika, 1 Fikezahana filofosana manao zavatra (ft. niavian'ny hoe mimaso, imasoana, fimasoana). 1 tif: Masoina, voamaso / mimaso, fimaso, mpimaso / imasoana, fimasoana / mahamaso / masomaso. ~ F.-p,: Baholy maso: bebe maso mahafinaritra. / Be maso: mana-maso makadiry. ? h,i.: Ilazana ny rary tsihy na ny sobika izay vaventy ny mason-drary fa tsy mihaika tsara. J Malemy maso: malefa-pijery. / Masom.boauahiny: ny tena izy amin'ny resaka fa tsy afinafenina. / Masom-boanjony: ny tena zanaka nateraka fa tsy ny zafikely na vinanto. / Masom.by, masom-bola, masom-barahina: enti-milaza vy na volafotsy na varahina vita boribory ohatra ny peratra. / Ma. som-boly: jar. Masomboly. I Mason'andro anio: ny andro itenenana, enti-milaza indrindra fa manomboka amin' io fotoana / Mason'antitra: toemaso na fahitana efa mihena noho ny halehiben' ny tanna, / Mason'antsy: ny ilany maranitra mandidy aamin'ny antsy (mifanohitra amin'ny antsetra). / Maso n. dandy: volo kely hita eo ambony lohan'ny bibin-dandy. / Mason.drano: ny lalan'ny rano. ? h.o.: Ny lahimatoa tokony handimby ny ray. / Mason.drary: ireo efitrefitra kely madinika amin'ny tsihy. / Mason-jokiny der, mason'antitra). / Mason'ony: ny lalan'ny ony, / Masontantely: ireo lavaka kely maromaro amin'ny tranon-tantely. / Mason-tsokina: entimilaza ny fananana kelin'ny tena ka ampiasaina amin'izay tokony ho vitany. / Ny masony: ny tena ventin-javatra, ny maha-izy azy. / Maty maso: entina hilazana ny voan-javamaniry nambolena ka tsy naniry fa maty. 1 h. o,: Lany tamingana. / V?lo_ maso: ilazana olona manampandimby afaka hanohy ny raharaha nataony na na.. tombonY, / Mamelo-maso: manohy ny taranaka. 1 h,i,: Mandimby olona. / Mangata-maso: tsy sahy miteny fa ny maso no apitrapitra toa mitalaho mafy. / Maso mahita vola: enti-milaza olona voatarika hivarotra na dia mora aza ? noho ny fahltany ny vola efa eny an-tanan' ilay mpividy. I Mihata-maso: enti-milaza zavatra toY ny vato amin'ny rarivato na ny miefitrefitra amin'ny tsihy, izay hita mihataka be na mi. saraka, / Ro be maso: ro be menaka misomidika, / Tsisy maso: ilazana ny olona lokilokin'ny hehy izaitsizy ka hifotrifotra mila tsy ho hita ny masony. / Sakay sy maso: olona mifandrafy izaitsizy, / Maso voa sakay: fay ka tsy te hamerina intsony. * Ohab.: Mason-tsohina ka ny kely ananana no ahiratra (jer. mason.tsokina), / Maso didy halan-tsetroka: enti-milaza ny maso miraikitra no-ho ny aretina ka mangirifi. ry raha vao voan'nY setroka. ? h,o.: Bazana ny mahantra izay sahirana ers> raha vao misy mahazo azy. "
Masoa,(Ski)  Lakan-tsalopy.
Masoandro," Antontan-javatra goavana mirehitra mihenjy eny amin'ny habakabaka ka fototry ny hazavana sy ny hafanana ety ambonin'ny tany, izay mllrodina manodidina azy: Miposaka avy atsinanana ny masoandro, ? h,i,: Hainandro: Misy masoandro eo ha mikisaha ianao, ? h,o,: Ray (aman-dreny): Ianareo no masoandro amam-bolanay. "
Masoarivo," Fitaovana misy loadoaka madinika maro, ampiasaina amin'ny famboaran-tsakafo raha ta hanatsika na hanatantavan. "
Masoivoho," Solontenam-pikambanan na fanjakana any an-tany hafa: Rakoto no ma. $oiuohon'ny fihambanam.ba- rotray any Mojanga. ? M,h,: Andrianjahonoany. "
Masolavitra, Fitaovam-pijerena natao hahitana mazava ary miavaka tsara ny zavatra lavitra.
Masombika, Anaram-poko anankiray avy tany Mozambika fahiny tafiditra ary tafaharo amin'ny Malagasy eto Madagasikara; Makoa.
Masomboly," Voa na talionjavamaniry fantenana ka tehirizina mba hafafy na hambolena amin'ny fotoam-pambolena manaraka. ? M,h.: Ambloka. "
Masomby, Rehefa mety ho vy boribory tahaka ny peratra.
Masonaombelahy,(Ski)  Fi. ravaka farantsa kely volamena roa iambozonana miseho hitsin'ny afovoan'ny taolampanavy avy.
Masonkarena, Izay lany rehetra tamin'ny nahazoana sy nanamboarana zavatra iray amidy: Tsy azoko amidy efajato ariary io latabatra Io satria dimanjato ny mason_ karena taminy.
Masonkoditra," Loaka kely madinika dia madinika hita amin'ny hoditra manify ivelany, izay ivoahan'ny hatsembohana (misy mason-koditra hatramin'ny 500 isaky ny lsm tsy mivadimandry). Masontantely a,: Iray amin' ireo kitapo telo miforona ho vavonin'omby, izay ahitana kiloadoaka kely betsaka ka mahatonga ny anarany. "
Masovarahina,"a,: Varahina boribory kely fanao amin'ny loadoaka idiran'ny fehin-kiraro. "
Masovoatoaka," Karazana ha. zandranon-dranomamy, me-na ny masony ary misy mitsipentimpentina ny vatany, "
Masy," Manan-kasina, manan-jo. "
Matahotra,"(tahotra) nit, p, (matahora): Mahatsiaro ny tena ho manahinahy eo anoloana na eo am-pieritreretana loza iray na olona na za. vatra tsy sahy hatonina: Ma. tahotra an.drainy mafy Isam. bilo fa nisy ratsy nataony, ? M,h,: Miraika, raiki-tahotra, tora-kovitra, tsiravina, an-koditra, kenda, ranga, ma. nambadi-po, miraikibolomaso, mikoso-maso, kasoka, taibombona, marna fy ketsa, mangovitra, manahy, manahy velona, mifihifihy, miritra aina, mihararetra, mipararetra, rano andravina, mihoron-koditra, mihoron-kodidoha, mitsangam-bolo, mihendratra, manangambovo. na, mimalo, miholy, mivadika ambavafo, midobodoboka ambavafo, mangitakitaka, mitaintaina, mihotakotaka, velona ahiahy, mitebiteby, mihorohoro, mangorohoro, mihena velona, an-tenda ny aina, tai-dava, mandry tsy lavo loha, mandry an-driran' antsy, mandry an-driran-defona, mandry tsirangaranga. "
Matahotrandro, Karazam-biby mitovy amin'ny androngo.
Matahotrantsy, Anaran-kazo fanao fanafody ny fakany.
Matanjaka,"(tanJaka)  Be aina, manana herim-batana, matomboka: Tonga daholo ny uatan-dehilahy matanjaka tao an-tandna, ? Mafy: Heverinao ve fa matartiaka hahazaka ity vata It9 io tady io? 1 Be herim-po: Matanjaka eo anoloan'ny fahoriana, ?  Mafy, mahery, matomboka, tomady, be aina, be sandry. "
Mataotra, Masaosao sady misy zava.maramtra mandrangotra.
Matavikely,"a,: Anaran'ahitra mitapela.dravina maniry eny amoron-drano. "
Matavy,"(tavy)  Entimilaza zavatra be menaka: Hena matavy. ? Enti-milaza olona na biby be jabora, be menka, botrefona: Misanehaka ny olona matauy rehefa miaka-piaharana, -  F.-p,: Matavy filaza: mampitombo, manitatra aoka Izany r.hefa milaza zavatra. ? M.h,: Vondraka, vaventy, donga, botrefona, vongavonga, hivokivoka, daboka, bebaka, botrabotra, dofotra, bodofotra, bolangina, refo, bada, botitaka, dongadonga, botabota, amboamboa kely, mibonabona, midibadiba, botanaka, monamona, minendonendo, montamonta, madonda, fatrofatro, mitsinatsinaka, dokadoka, boresaresa, tete menaka, be traotraoka, tretrohina, mianakanaka, be kibo, be roroha, saingona. "
Matematika,"(fr, math?mati que)  Antonkon-tsiansa ianarana mandinika ny fom- ba aman-toetran'ny zavatra tsy azo tsapain-tanana (isa na sary jeometrika) amin'ny alalan'ny fisainana fotsiny, sy ny fifandraisan'izy samy izy. "
Matetika,"(tetika)  Misesy, mifanakaiky tsy misy elanelany lavitra; mifanety: Ataovy matetika ny hetsa raha ta hahazo uary betsaka ianao, ? p, mt,: Imbetsaka ary mifanakaiky ara-potoana: Mamangy an.janany matetika izy, "
Matevina,"(tevina)  Lehibe ny indrakeliny: Boky mate-vina, / Akanjo mateuina, ? Mifanizina, mikitroka mi. kirindro: Ala mateuina, /Mateuina izany zauona izany! ? Marihitra: Matevina izany ra_ nom-bary izany, ? h,o,: Maqankarena, tremalahy: Ireny olona mateuina ho! -  Mateuin-kena: ilazazana ny be nofo raha biby ary matevina kosa raha lamba, / Mateuin-keuitra: barabara sain, manao hevi-iaza, / Matevt-moiotra: be molotra, / Matevin-koditra: ilazana ny hodi-javatra mivatravatra sy dontodonto ka zary matevina. ? h,o,: Tsy azo anarina na azo antenaina hihatsara na hivoatra. / Mateuin. tsisina: manify ny anatiny fa matevina kosa nY sisinY. "
Mateza,"(teza)  Maharitra ela vao simba: Mateza ity akanjonao it9 fa mbola tsy teraka akory ilay faralahiko no hitako efa nartaovanao izy ity, -  Mateza diavina: en. ti-milaza lalana toa ela erY vao lany rehefa aleha. / Mateza dinihina: ilazana ny vehivavy somary zarazara hoditra ny ffhodirany, ka arakaraka ny ijerena azy maharitra no mampitombo ny ha. soany amin'ilay mijery azy. / Mateza aina: enti-milaza ny olona ela velona, ary anambarana koa ny faherezana miasa maharitra tsy an-kiato, / Mateza roritina: enti-milaza zavatra mihalava rehefa sintonina, * Ohab.: Mateza lelafina tahaka ny rira: entimilaza zavatra izay tsy mba lanilany haingana foana fa akana tsikelikely ka mahalava ny fa. haretany (matetika dia ilazana zava-tsoa kendrena mba haharitra io ohab, io). "
Matihanina," Enti-milaza mpiasa na mpampianatra manao ho fototr'asa mandavan' andro ny raharaha ataony, na asa tsotra izany na fampianarana (mifanohitra amlny: mpanao an-tselika), "
Matiloa,"(fr. matelot)  Tantsambo, mpiasa amin'ny sambo: Lasa nanao matiloa, hono, Rakoto. "
Matity,"na Matsitsy (fit.-p,) p, t.: Mahihitra. "
Matoa," Enti-milaza ny zokiny indrindra amin'ny zanaka (soratana miaraka amin' ny anarana lazainy toetra io teny io): Rasoa no vavimatoa aminay, "
Matoa,"ppt feh.: Raha toa, ny antony naha-...: Matoa very ny omby, tsy tsara ny hidin' ny fahitra. "
Matoanteny," Sokajin-tenY enti-milaza ny teny fototrY ny fehezanteny ka ny fiforonany dia ambr'ny alalan'ny tsirinteny mirafitra amin'ny fototeny. Misy karazany sivy ny matoanteny malagasy: a) ny matoantenin'ny mpanao (oh, mamatotra); b) ny matoantenin'ny iharana (fatorana ny omby); d) ny mato. antenin'ny atao (afindra ny entana); e) ny matoantenin' ny fitaovana (afatotra ny omby ny tady); f) ny matoantenin'ny sehatra (mifatotra ny omby); g) ny matoantenin'ny mpandray (ueiarana tsihy ny vahiny); h) ny matoantenin'ny mpamaritoe-javatra (amatorana, ifatorana); i) ny matoantenin' ny mpampanao (mampamatotra); j) ny matoantenin'ny mpifanao (mifamatotra). "
Matoatoa, Fanahin'olona maty izay misehoseho amin' ny velona satria tsy vita mby antsoalany ny fandevenana azY.
Matoky,"(toky) mt, p, (matokia, matokica): Manantena: Matoky anao izy hitady raharaha ho azy, ~ Mametraka fianteherana, fitokiana a      Efa namitaka ahy ianao ka tsy matoky anao !ntcony aho, ? Mino: Natoky ny filnzany aho ka dia nandeha, ~ Tsy matahotra: Matoky aho satria eto akaikiko ianao. "
Matombina,"(tombina) Matan]aka, be aine. "
Matomboka,"p, t,: Mafy. "
Matona," Ny fovoana manasaka indrindra. - t.i.f.: Mamatona -  F,-p,: Mamatonalina: misasakalina. / Mamaton-dranjo: eo antenatena ranjo. / Am_ pamatonan-dalana: eo amin' ny fisasahan'ny lalana indrindra. / Famaton-kavana: havana akaiky. / Famaton' olona: olona tsy azo lazaina ho efa antitra, nefa tsy tanora intsony koa. "
Matoriandro,"a,: Anaram-borona karazana vorondolo matory amin'ny antoandro. "
Matory,"(tory) mt, s, (mato. ria): Latsaka ao anatin'ny torimaso: Aza mingadongadona fa matory ny marary, 1 Matoritory: Rendremana na renodrenoka toa tsy mahatsiaro tena tanteraka, na malaina miasa: Matoritory ny saina rehefa avy manao sakafo be. -  Matory anakampo: ilazana ny feon'ny 8eritreretana izay tokony hohenoina sy hosainina am-pitoniana, / Matory maty: ma. tory tanteraka tsy mandre na inona na inona, tsy mahare izay ambonin'ny tans,. / Matory tsirangaranga: tsy matory tsara fa mihainohai. no na miandriandry toa hi. sy zavatra hiseho ihany. / Matory tsy mifoha: maty. / Tsy maty tsy akory fa miro_ la matory: ilazana ny olomalala na ny 010-manga izay tsy miala ao am-po ny fahatsiarovana azy na dia efa maty aza, na noho ny fftiavana azy be dia be na noho ny asa makadiry vitany, ?  Mandry, midaboka, mandamoka, mibafoka, mibonoka, mifonoka, mandry mitsilany, mandry mihoho. ka, mandry mihorirana, mandry ilika. "
Matotra," Tomady, matanjaka. / Enti-milaza toetran' olona mahay mandanialanja izay ataony ary tsy mba miovaova: Efa mato.tsaina ve ny tanora vao ualo ambin'ny fo Io tao na? "
Matoy," Enti-milaza ny voankazo tonga amin'ny fotoana tsara fihinanana azy, iii M, h,: Masaka. 1 h.o,: Efa lehibe tonga taona, "
Matraboka,"(traboka)  Matsatso, sahala amin'ny voankazo be rano. ?  Matsaotsao,maranorano, "
Matrafotrafo,na Matrafotrafo. ka Entl-milaza zavatra be menaka toy ny hena ma. tavy be.
Matrangy,"(fit,-p,) a,: Vodyvary, "
Matrohina,"(matrohy)	Atao tonga matroka, vasohina. "
Matroka," Tsy mazava, tsy manganohano intsonY, tsy manana hamiratana, vasoka: Efa matroka lahy ny volafotDy amin'it9 firauaka it9, 1 Matrohina voama. troka / manamatro~ra, fana. matroka, mpanamatroka / anamatrohana, fanamatroha. na / matromatroka, "
Matsa,"a,: Karazan-kazo. "
Matsaboaka,"(tsaboaka)  Tsisy tsirony, tahaka ny vo. manga be ranci. "
Matsaboka," (fihasimban' ny hoe matsaboaka) Entimilaza zavatra tsy misy tsirony, toy ny voankazo maranorano, "
Matsabory,"(Tsm) a,: Kamory. "
Matsaotsao,"Mitsaotsao (tsao. tsao)  Tsy misy tsirony sady matsatsaka any am-bava, ka fitenY indrindra amin' ny vodin-javamaniry fihinan, ny voankazo...: Matsao. tsao izany paoma izany, ? M,h.: Maranorano, be rano. "
